Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
Kansas St.,51.1,48.8,28.7,28.6,16.8,17.9,29,30.3,67.9,51.8,49.9,32.5,31.5,9.2,10.1,59,55.3,40.2,35.7,67.7,69.1,73.4
Pepperdine,49.9,52.5,32.7,27.5,16.5,15.3,28.3,30.1,69.2,48.9,53.3,34,34.2,7.3,8.5,59.6,51.9,34.7,38.9,69.8,71.6,75.2
Charleston,52.4,50.4,35.9,26.6,16.9,16.7,26.3,28.2,70.1,51.8,51.4,35.5,32.1,6.3,10,58.7,53.7,40,39.7,71,71.1,71.2
UC San Diego,54.7,48.3,32,29,13.2,21.6,25.8,28.5,66.9,56,46.3,36.1,33.1,7.2,9.9,56.6,52,49.6,44.4,66.5,74.7,74.6
Grambling St.,46.9,51.3,30.7,30.3,17.5,17.3,24.4,30.7,66.1,46.9,47,32,35.7,9.8,10.2,48.5,52.6,35,35.6,64.6,72.9,74.9
Texas Southern,46.6,49.3,25.9,34.2,18.6,18.1,28.7,35,71.2,46.2,46.5,33.1,32.6,10,9.7,51.8,55.7,35.8,41.3,70.6,72,68.5
Central Connecticut,51.6,48.9,25.9,20.5,17.4,17,26.4,27.2,66.1,53.7,49,32.9,30.6,12.1,6,50.4,52.6,34.8,42,66.3,74.5,68.3
VMI,47.9,53.9,37.5,31.8,18.8,17.7,25.2,32.4,68,50.3,56.3,31,34.5,8.4,10.3,48.5,64.7,46.9,47.5,68.8,76.7,65.1
Auburn,57.1,44.7,34.4,36.1,13.6,18.6,34.4,27.8,69.1,55.7,46.8,35.9,29.8,15.8,7.7,54.9,40.4,40.8,35.3,68.8,72.7,73
New Orleans,46.4,55.2,33.4,27.4,17.6,15.5,29.6,33.7,69.5,46,55.1,30.4,36.4,7.1,11.1,50.1,58.5,30.7,42.4,69.9,66.9,72.2
Idaho St.,46.4,53.4,32.1,31.7,16.7,18,38.9,28.3,66.7,48.3,53,31.2,37.3,12.2,10.4,47.9,53.9,36.6,37.7,66.6,74.3,69.5
Columbia,51.4,56.3,31.7,28.5,16,16.9,26.7,28.5,71.4,53.9,54.6,33.8,39.2,5.8,10,60.1,63.7,39.1,41.8,71.5,72.8,73.1
IU Indy,49.7,57,32.8,34.2,15,15.3,29.8,32.8,65.9,46.2,57.8,36.8,37.3,5.9,13.8,53.2,59.2,47.3,40.8,65.6,74.8,74.9
Western Carolina,45,50.5,26.4,34.8,18.8,13.8,25.2,29.3,71.1,46.3,52.8,29.7,32.6,9,9.4,48.8,54.3,48.2,44,71.2,73.5,74.5
Eastern Kentucky,48.7,52.2,27.6,34.2,14.5,18.2,32.3,34.1,68,47.7,52.1,34.9,35.5,9.5,8.6,47,49.5,42.2,37.3,68.3,77.4,71.1
Penn,49.5,52.1,32.2,28,17.1,13.8,27.8,31.1,67.5,49.9,50.8,32.6,37.5,4.7,9.7,55.7,53.8,44.4,39.2,67.6,69.7,77.3
South Carolina St.,49,51.1,37.8,42,18.7,20.6,31.7,31,70.7,50.2,51.8,34.7,31.1,10,8.2,56.9,55.7,33,34.1,69.9,70.2,69.7
Idaho,50.7,53.6,31.8,35.4,17.8,14.9,29.7,32.4,66.7,51.5,55.1,34.7,34.9,7.9,10.7,48.7,52.3,47.9,39.9,67.1,76.1,69.3
Stony Brook,47.9,56.5,32.9,30,18.5,15.3,29.2,31.5,64.6,45.7,57.2,33.8,36.3,6,11,48.8,58.7,39,42.3,65.2,74.5,69.9
Evansville,47.8,48.9,29.9,32.3,17.9,16.8,24,30.6,66.9,51.5,49.4,29.9,34.1,13.9,7.6,52.6,54.8,40.6,44.9,67.6,70.5,73.7
Saint Peter's,44.2,47.8,38,41.7,20.5,17.1,36.3,32.2,64.5,42.4,47,32.2,31.9,10.6,12.3,45.3,51.1,38.5,38,64.5,73.6,73.1
Virginia,53.2,50.3,27.9,29.2,16.4,16,22.7,28.5,61.6,49.9,50.6,37.5,34.1,11.3,9.4,63.6,50,42.8,38.7,61.7,75.3,75.5
UCF,50.7,50.6,37.2,31.8,16,17.6,32.4,32.4,72.5,48.9,52.1,33.8,32.8,10.9,9.8,52.1,53.3,41.7,37.4,72.5,77.5,73.5
Drexel,51.3,48.6,24.6,29.2,19,14.9,32.4,30.4,63.9,51.9,48.1,35,31.6,11.9,8.1,48.4,48.7,37.1,35.4,63.7,69.8,69.2
Charleston Southern,47.7,52.2,41.6,30.9,19.7,13.6,29.7,27.1,68.9,50.7,55.4,30.7,32.4,6.1,10.9,47.5,41.7,42,29.2,68.2,66.3,69.8
Northern Iowa,54.3,50.1,34.4,27.3,16.1,17.2,26.3,26.1,65.4,55.2,50,36.8,35.6,9,7.9,52.9,44.8,36.3,40.8,65.9,68.8,70.1
South Carolina,49.7,50.4,42.1,28.9,18.1,16.3,29.9,25.4,66.8,49.8,51.1,31.6,34.8,7.8,13.9,54.7,49.9,39,34.6,66.1,71.5,71.1
Lamar,47.6,48.3,27.9,35.9,17.8,17,33.2,29.9,65.8,44.3,47.9,35.6,31.4,14.7,9.8,56.6,55.6,32.8,39.1,66,69.9,67.4
Kentucky,57.9,48.4,36,28.9,15.2,14.9,28.3,24.9,72.3,55.6,53.9,37.5,30.5,11.4,8,57,47,41.2,43.7,71.3,73.1,71.7
Lafayette,49,49.9,32.6,29.3,17.5,16.6,25.4,31.1,65.9,49.7,48.3,34,35.8,9.9,6.5,59.4,54.3,40.3,37.9,66.8,69.2,73.5
VCU,52.4,44.6,32.6,37.4,16.6,20.8,37.3,32.1,66.3,53.9,44.1,33.8,30.7,15.3,7.9,56.5,46,47.8,35.4,66.8,74.4,71.8
Wisconsin,54.4,46.9,36.4,28.2,14.1,15.2,28.2,26.6,68.7,55.2,46.9,34.8,33.3,6.3,10.7,54.2,49.9,48.2,39.1,68.3,82.6,72.9
Alabama,58.5,46,40.2,31.6,16.7,14.6,34.6,26.6,76.1,59.7,49,35.3,30.4,10.1,12.1,55.4,44.8,46.6,34.6,75.5,72,71
Tennessee Tech,50.9,51.7,27,22.3,16.8,14.6,24.2,31.9,68.5,49,50.6,35.1,31.9,6.4,9.5,59.3,47.5,46.4,34.1,68.5,70.8,74.4
NJIT,44.8,50.7,28.3,40,17.9,13.7,27.7,32.9,66.8,45,51.9,30.5,31,9.2,10.2,41.9,50.6,37.8,35.2,67,73,68.8
North Alabama,49.9,50.3,32.6,30.5,13.4,16.8,32.9,29.7,67.2,51,51.6,34.6,32.5,9.5,9.6,42.3,51.8,34.5,43.4,67.4,70.4,69.8
Alabama A&M,44.6,56.2,35.3,45.3,21.6,19.3,31.6,35.2,71.8,44.3,51.8,30.8,39,10.7,8.7,53.4,57.8,41.6,37.5,71.5,66.7,70.2
Cal Baptist,48.7,51.8,26.7,29.6,16.3,16.3,32.5,29.3,67.4,48.6,50.3,31.7,33.2,6.9,9.1,45.6,39.6,35,31.3,66.5,75.7,68.4
Dartmouth,49.2,48,33.5,26,17.2,14,24,26.3,71.6,49.8,52.1,33.9,29.6,7.9,9.3,56.9,51.9,46.5,38.5,71.5,75.1,70
La Salle,47.2,52.3,33.4,29.6,15.7,16.9,30.9,30.1,69.7,44.5,54.5,32.8,33.2,10.2,9,45.1,54.9,33.2,41.5,69.4,72.4,69.6
East Texas A&M,49.5,54.8,27.1,36.4,20.9,19.5,26.2,34,67.8,51.1,52.6,31.4,37.4,10.7,13.4,61.6,59.4,48.3,34.6,68.1,64.4,69.2
Tulsa,49.4,50.9,31.7,31,17.1,14.4,25.7,30.1,67.3,51.5,50,31.2,32.7,6.8,11.3,54.2,46.7,42.3,34,67,67.2,70.2
Incarnate Word,51.4,53,28.7,38,16.8,16.4,32,30.5,65,50.8,51.1,35.2,35.8,9.4,8.7,45,48,35.8,31.4,65.3,68.8,70.5
St. Thomas,55.2,52,31.8,34.5,14.9,19,22.2,31.8,69.3,58.1,52.1,38.3,35.4,9.3,9.8,52.1,50.6,46.8,41.3,68.6,77.6,75.5
Grand Canyon,51.1,49.1,39.3,29.8,17.6,18.5,31.7,29,72.4,52.6,46.7,31.3,32.3,13.1,9,51.6,47.7,33.8,34.1,72,73.3,72.2
