Team,Opp.,W/L
UTSA,Texas St.,L
Eastern Kentucky,Vanderbilt,L
Bradley,Tennessee Martin,L
Pacific,Long Beach St.,W
Saint Peter's,VCU,L
Dartmouth,Bryant,L
Mississippi Valley S,Hawaii,L
Canisius,Mercyhurst,W
Purdue Fort Wayne,Western Michigan,L
Prairie View A&M,Oklahoma St.,L
Oakland,Houston,L
Saint Joseph's,Virginia Tech,L
Little Rock,Marquette,L
Fairleigh Dickinson,Texas,L
Northern Kentucky,East Tennessee St.,L
Southern Indiana,South Dakota,L
Mercyhurst,Canisius,L
Coppin St.,South Florida,L
Kansas St.,California,W
Wichita St.,Loyola Chicago,W
Purdue,Alabama,W
Alabama,Purdue,L
LSU,FIU,W
Loyola Chicago,Wichita St.,L
California,Kansas St.,L
Cornell,Lafayette,W
Massachusetts,Le Moyne,W
Michigan St.,San Jose St.,W
St. Thomas,Green Bay,W
West Virginia,Pittsburgh,W
Columbia,UMass Lowell,W
FIU,LSU,L
Grambling St.,Southern Miss,W
UMass Lowell,Columbia,L
South Alabama,Central Michigan,W
Monmouth,Seton Hall,L
Le Moyne,Massachusetts,L
San Jose St.,Michigan St.,L
Central Michigan,South Alabama,L
Seton Hall,Monmouth,W
Southern Miss,Grambling St.,L
Howard,Alcorn St.,W
Alcorn St.,Howard,L
Lafayette,Cornell,L
Alabama A&M,Charleston Southern,W
Pittsburgh,West Virginia,L
Louisiana Monroe,Houston Christian,L
Houston Christian,Louisiana Monroe,W
Charleston Southern,Alabama A&M,L
Green Bay,St. Thomas,L
Kentucky,Eastern Illinois,W
USC,Illinois St.,W
Northwestern,DePaul,W
Washington,Washington St.,W
Baylor,Tarleton St.,W
New Orleans,Tulane,W
Saint Mary's,North Texas,W
McNeese St.,Louisiana,W
Duke,Indiana St.,W
DePaul,Northwestern,L
UCF,Texas A&M,W
Colorado,Providence,W
West Georgia,The Citadel,W
Gonzaga,Arizona St.,W
Mississippi,Cal St. Bakersfield,W
