Team,EFG%,EFGD%,FTR,FTRD,TOR,TORD,ORB,DRB,A?,2P%,2P%D,3P%,3P%D,Blk,BlkD,Ast,AstD,3PR,3PRD,B?,C?,D?
San Diego St.,52.3,43.3,26.9,32.6,15.6,16.9,27.5,32.7,67.2,51.1,41.6,36.4,30.2,19.7,7.5,50.2,52,35,44.4,66.2,68.5,72.2
Nebraska Omaha,47.7,54.5,30.3,38.6,18.8,15.6,27,26.3,67.8,46.4,54.7,33.1,36.2,6,10.6,50.2,59.8,39.4,42.1,68.7,72,71.9
Texas A&M Commerce,49.5,55.4,32.8,39.5,25.3,19,28.5,33.2,69.9,53.2,55.7,30.4,36.6,9.9,13.9,53.3,58.2,48.3,37.7,70.2,65.2,69.1
DePaul,57.3,46.5,30.9,27.6,18.8,16.9,31.1,27.7,69.9,54.8,47.5,39.8,29.6,9.7,10.6,66.8,48.9,51.2,31.4,69.4,68.5,67.4
UT Rio Grande Valley,52.2,53.6,23,35.1,18.2,19.4,29.9,30.8,72.8,58.6,58,30.4,30.3,2.3,5.5,51,49.2,49.2,34.9,72.6,76.5,74.2
Chicago St.,41,54.3,26.6,39.8,19.1,17.2,25.1,37.2,71.3,38.9,55.2,29.4,35.3,11.4,10.1,48,60.3,40.1,41.2,71.1,66.5,74.1
South Dakota,50.8,53.5,46,33.5,14.1,17.6,34,37.4,74.5,53.3,52,31.1,37.4,8.5,8.1,43.9,48.2,38,38,75.1,70.2,69.1
Montana St.,53.6,49.2,28.3,35.7,15.5,16.8,22.9,29.7,68,51.7,52.8,37.2,27.7,6.2,10.3,57,48.8,45,31.8,67.8,73.2,80.2
Oklahoma St.,50.1,54.4,41.9,35.1,17.3,21.8,34.4,26.1,72.4,49.1,55.1,34.6,35.7,9.9,10.8,52.5,47.5,34.8,43,73.1,73.6,65.3
Wagner,39.6,50.2,26.2,41.2,20.1,19.6,30.8,26.9,61.3,36.7,50.4,29.6,33.3,5.4,10.2,55.2,58.6,37,44.2,61.8,68.5,66.5
Bethune Cookman,45.1,49.8,26.9,31.8,18.1,18.1,24.4,35.4,69.4,44,48.8,31.5,34.2,10.2,12.4,42.8,54.6,33.9,41,70.5,69.5,74.9
Wofford,50.6,54.3,21.4,39.6,17.8,15.9,34.7,29.3,65.3,53.6,53.5,31.5,36.8,7.9,11.1,58.9,53.1,46.7,43.1,65,66,67.1
Cal Poly,55.5,54.5,29.8,34.1,23.3,18.3,28.7,32.5,77.1,58.5,53.8,35,37,6,11.4,53.9,50,49.5,38.8,77.2,75.2,71.3
Towson,43.1,51.3,29.9,36.8,16,17.5,34,29.2,64.2,43.3,52.4,28.4,33.1,8.5,8.7,40.9,47.9,34.7,40.1,64.1,66,71.4
Delaware St.,43,55,32.1,37.3,17.6,18,32,30.9,70.9,42.5,56.6,30.2,35.6,9.1,8.3,41.5,64.1,17.4,48.2,71.7,68.6,71.8
Norfolk St.,51.4,52.9,38.2,37.1,18.8,18.9,26.8,35.7,67.1,51.9,55.6,33.5,33.7,7.4,10.8,46.8,67.8,30.6,54.1,67.3,77.6,70.2
Vermont,47.2,48.8,31.4,27,19.4,16.8,23.9,30.4,65,47.4,49.6,31.3,31.6,12,12.5,50,38.3,45.2,33.5,65,77.2,73.1
Liberty,59.7,47.2,31.6,26.9,17.4,18.1,24.3,24.8,65.5,59.6,48.5,39.9,29.5,7.3,6.4,58.7,39.2,45.7,31.3,64.8,63.6,73.9
UNC Wilmington,48.5,51.1,45.8,36.1,15,18.1,33,29.1,68.6,52.5,53.5,28.5,31.7,10.6,10,50,46.7,40.8,40.4,68.2,75.4,67.5
Le Moyne,48.6,51.6,35,36.4,19,16.4,23.3,35.6,70.8,52,54.5,29.1,31.8,6.2,10.3,57.5,56.1,40.8,42.7,70.1,72.3,71
Presbyterian,50.9,53.7,30.2,32.6,17.8,17.5,31.1,30.2,66.1,48,52.8,37.5,36.8,8.3,9.8,46.7,52.9,34.5,39.7,67.1,62.3,68.9
Michigan,57.2,45.1,34,27.4,20.8,20.7,37.1,32.8,71.3,62.1,43.5,33.7,32,12.5,6.2,57,37.6,42.3,36.1,71.5,69.9,72.4
Bellarmine,53.9,57.7,30.1,34.6,20,14.9,21.7,29.5,68.8,54,56,35.9,40,4.7,8.3,59,49.8,45.4,43,68.2,80.8,75.1
East Carolina,46.9,50.4,37.3,33.4,15.1,19.6,33.2,31.2,65.8,50.5,48.8,26.9,35.3,11.1,8.6,45.8,61.1,35.3,38.9,65.7,74.5,66.8
Northwestern,48.7,47.9,34.3,30.1,13.7,20.1,30.4,24.9,66.5,48.6,49.3,32.7,30.4,9.4,7.7,55.4,64.7,30.3,39,66.1,72,67.8
Eastern Illinois,43.5,54.6,26.9,41.3,18.3,19.2,26.4,32.1,69.3,43.2,56,29.6,35.7,7.7,11,41.8,68.1,28.1,53.9,68.4,62,78.1
Buffalo,51.3,52.2,34.3,25.8,18.8,14.9,20.9,31.1,72,54.6,49.4,31.3,38.3,9.5,11.5,51.2,52.1,42.9,35.3,70.4,68.6,72.4
Northern Kentucky,48.4,53.8,32.9,28.1,18.5,20.9,28.7,31,67.1,51.4,50.1,29.5,39.6,9.3,7.7,57.4,53.5,42.2,39.3,67.2,64.9,71
Valparaiso,46.2,54.9,41.2,38.6,14.8,17.9,29.4,27.9,69.7,46.9,56.1,30.1,35.2,6.2,9.6,45.3,43.2,39.4,35.8,70.4,82.2,69.9
Mercyhurst,47.6,57.7,28.2,39.8,17.8,20.5,22.6,37,64,46.1,55.6,33.5,40.7,7.6,10.4,54.1,58.8,35.5,37.7,64.9,77.4,68.1
Elon,52.2,45.7,38.4,21.1,19.1,11.9,34.2,29.3,66.2,51.4,44.2,35.6,31.7,13.6,11,54.8,63.7,42.4,45.3,66.1,70.2,74.6
Appalachian St.,48.9,46.9,38.2,23.2,20,15,28.9,30.6,66.1,49.1,50.5,32.3,28.2,9.3,10,49,49.8,41.3,43.7,66,62.8,75.8
West Georgia,46.4,55.9,24.2,34.6,18.1,17.3,27.4,32.4,69,47.3,58,29.4,35.6,11.2,8.8,48.7,58.8,29.6,45.9,68.4,67.4,73.2
Cleveland St.,44.9,53.3,31.5,44.1,22,24.5,33.5,34.3,67.6,47.6,53.2,26,35.6,14.7,13.4,44.8,57.7,30.8,38,67.9,74.6,73
Utah Tech,46,53.3,33.9,38.1,16.2,17.7,25.1,38.1,68.5,48.1,56.7,28.6,31.1,7,12.4,53.4,50.3,41,33.7,68,65.4,68
St. John's,53.7,46.3,31.5,31.4,16.7,21.5,40,29.2,71.2,56,43.6,32.8,33.7,17,7.8,53.9,52.5,33.8,38.9,71.2,70,65
Long Beach St.,48.4,52.3,33.2,36.6,22.6,17.3,28.9,35.3,65.3,45.5,52.6,35.5,34.6,6.6,9,50.4,50.2,37.5,36.8,64.7,71.4,66.5
Samford,56.3,53.7,28,37.4,18.3,21.9,33.9,37.6,72.8,54.9,57.3,38.5,32.1,10,8.9,60.2,62.7,47.8,38.7,72.3,69.1,72.1
Eastern Washington,51.3,58.3,30.2,37.2,18.1,20.8,27.1,37.3,69.8,52.8,57.4,32.6,39.8,6.9,7.9,56.1,56.3,38.3,40.2,68.7,75.4,69.4
Kansas St.,55.2,48.8,31.2,27.2,17.8,20.4,34.1,31.2,69.4,54.9,47.2,37.2,34.4,9,8,60.8,53,42,36,69.5,68.1,76.3
Alabama A&M,42,55.9,34.8,46.9,20,20.7,33.3,41.2,71.2,40.8,51.3,29.4,41.3,10.9,9.4,50.3,59.4,36.8,42.5,71.6,64.1,75
Charleston,53,51.1,31.2,29,19,18.6,26.3,29.7,72.2,51.4,53.4,37.1,32.1,7.5,10.9,58.6,59.4,35.8,43.3,72,77.5,67.9
UC San Diego,53.4,52,37.2,34.5,14.5,23.7,25.8,25.2,67.6,54.2,48.5,35,37.4,6.3,10.3,53.6,48.4,49.9,46.5,68.4,72,69.6
Grambling St.,49.5,53.7,29.8,33.7,21.3,16,19,30.1,70.6,45.4,54.1,38.2,35.3,11.3,12,51.2,57.6,34.3,36.5,68.2,66.7,73.8
Texas Southern,43.8,55.7,29.1,41.1,17.7,16.1,25.4,37.4,72.3,42.2,54.6,31.4,37.9,9.3,12.3,56.6,67.1,33.6,49.7,71.6,73.1,75.1
Central Connecticut,49.5,50.3,21.8,21.1,17.8,18.7,25.7,26.5,66.2,52.2,51.7,29.6,32.2,11.9,6.2,50,55.8,34.5,42.7,65.6,72.6,69.4
VMI,47.6,56.9,33.6,26.7,17.4,18.5,26.8,32.6,68.8,48.8,63.1,30.7,33.8,7.5,10.2,53.2,76.6,44.3,49.3,68.7,75.8,66.9
Auburn,59.4,43.9,29.6,32.9,12.9,16.4,35.4,26.3,68.9,61.2,42.6,38,31.2,16.5,4.9,58.5,32.8,43.5,31.9,68.9,76.5,72
